Timestamp(ms),LoRa_Raw_Data
39827,TS:31408|AX:6.09|AY:-10.74|AZ:-0.45|GX:7.69|GY:25.45|GZ:-3.91|ROLL:-93.47|PITCH:-32.61|YAW:48.83|LAT:22.586994|LON:113.975493
40332,TS:31907|AX:5.28|AY:-8.26|AZ:-0.49|GX:6.16|GY:5.43|GZ:1.46|ROLL:-91.73|PITCH:-33.98|YAW:45.38|LAT:22.586990|LON:113.975483
40836,TS:32382|AX:5.39|AY:-8.22|AZ:-0.28|GX:-0.06|GY:1.46|GZ:2.44|ROLL:-90.84|PITCH:-33.27|YAW:43.10|LAT:22.586990|LON:113.975483
41337,TS:32885|AX:5.36|AY:-8.28|AZ:-0.40|GX:-3.54|GY:-4.70|GZ:2.08|ROLL:-91.85|PITCH:-33.07|YAW:43.41|LAT:22.586990|LON:113.975461
41841,TS:33385|AX:5.29|AY:-8.28|AZ:-0.54|GX:-0.12|GY:0.12|GZ:-1.04|ROLL:-93.14|PITCH:-32.70|YAW:42.81|LAT:22.586990|LON:113.975461
42341,TS:33888|AX:5.43|AY:-7.88|AZ:-0.89|GX:16.11|GY:10.31|GZ:2.99|ROLL:-93.85|PITCH:-34.87|YAW:44.20|LAT:22.586990|LON:113.975461
42845,TS:34423|AX:5.42|AY:-8.23|AZ:0.05|GX:-3.97|GY:-1.59|GZ:-2.44|ROLL:-89.15|PITCH:-34.44|YAW:40.58|LAT:22.586990|LON:113.975461
43346,TS:34892|AX:5.62|AY:-7.89|AZ:-0.51|GX:-2.08|GY:-0.55|GZ:-0.43|ROLL:-91.60|PITCH:-35.60|YAW:42.01|LAT:22.586990|LON:113.975461
43850,TS:35426|AX:5.39|AY:-8.18|AZ:-0.80|GX:0.43|GY:-15.44|GZ:-5.31|ROLL:-92.82|PITCH:-34.57|YAW:42.98|LAT:22.586990|LON:113.975461
44345,TS:35895|AX:5.54|AY:-8.18|AZ:-0.47|GX:-0.79|GY:1.46|GZ:0.61|ROLL:-92.67|PITCH:-34.51|YAW:43.35|LAT:22.586990|LON:113.975461
44849,TS:36429|AX:5.47|AY:-8.08|AZ:-0.59|GX:2.01|GY:2.81|GZ:-0.49|ROLL:-93.35|PITCH:-34.08|YAW:43.31|LAT:22.586990|LON:113.975461
45351,TS:36898|AX:5.37|AY:-8.22|AZ:-0.91|GX:-6.47|GY:-2.32|GZ:2.08|ROLL:-95.26|PITCH:-33.14|YAW:43.97|LAT:22.586990|LON:113.975461
45855,TS:37432|AX:4.93|AY:-8.79|AZ:0.23|GX:33.69|GY:110.90|GZ:17.21|ROLL:-88.04|PITCH:-29.97|YAW:31.51|LAT:22.586990|LON:113.975461
46353,TS:37901|AX:-0.29|AY:-4.29|AZ:8.67|GX:50.05|GY:66.96|GZ:14.10|ROLL:-33.00|PITCH:0.42|YAW:-5.48|LAT:22.586990|LON:113.975461
46858,TS:38436|AX:-2.20|AY:-0.89|AZ:9.66|GX:29.60|GY:9.34|GZ:-29.54|ROLL:-8.62|PITCH:12.06|YAW:-14.19|LAT:22.586990|LON:113.975461
47361,TS:38905|AX:-2.14|AY:-2.26|AZ:9.01|GX:-18.43|GY:18.49|GZ:-2.20|ROLL:-11.91|PITCH:11.32|YAW:-21.55|LAT:22.586990|LON:113.975461
47866,TS:39440|AX:-1.07|AY:-3.22|AZ:9.19|GX:-5.68|GY:-33.69|GZ:-41.14|ROLL:-19.52|PITCH:6.71|YAW:-26.41|LAT:22.586990|LON:113.975461
48361,TS:39909|AX:0.00|AY:-3.51|AZ:8.63|GX:-7.57|GY:16.05|GZ:25.27|ROLL:-20.59|PITCH:1.11|YAW:-27.74|LAT:22.586990|LON:113.975461
48867,TS:40443|AX:-0.92|AY:-3.52|AZ:9.15|GX:10.62|GY:-11.41|GZ:26.06|ROLL:-19.85|PITCH:0.86|YAW:-31.38|LAT:22.586990|LON:113.975461
49368,TS:40912|AX:-3.39|AY:-3.52|AZ:9.70|GX:6.77|GY:19.53|GZ:7.57|ROLL:-20.68|PITCH:-1.27|YAW:-34.55|LAT:22.586990|LON:113.975461
49872,TS:41450|AX:-2.93|AY:-3.73|AZ:9.32|GX:1.34|GY:16.05|GZ:-3.42|ROLL:-21.13|PITCH:-2.15|YAW:-35.07|LAT:22.586990|LON:113.975461
