Timestamp(ms),Ax(m/s2),Ay(m/s2),Az(m/s2),Gx(deg/s),Gy(deg/s),Gz(deg/s),Roll(deg),Pitch(deg),Yaw(deg),WGS84_Lat(deg),WGS84_Lon(deg),GCJ02_Lat(deg),GCJ02_Lon(deg),Lat_Dir,Lon_Dir
31806,5.40,-7.91,-0.62,0.79,-1.71,0.92,-92.41,-34.06,45.85,22.58994150,113.97055067,22.58698969,113.97548310,N,E
31907,5.28,-8.26,-0.49,6.16,5.43,1.46,-91.73,-33.98,45.38,22.58994150,113.97055067,22.58698969,113.97548310,N,E
32082,5.40,-8.08,-0.28,-1.71,0.85,1.16,-91.59,-33.66,44.37,22.58994150,113.97055067,22.58698969,113.97548310,N,E
32178,5.48,-8.44,-0.35,4.09,4.39,0.73,-91.47,-33.39,44.07,22.58994150,113.97055067,22.58698969,113.97548310,N,E
32279,5.36,-8.18,-0.28,2.01,4.76,1.04,-90.96,-33.42,43.46,22.58994150,113.97055067,22.58698969,113.97548310,N,E
32382,5.39,-8.22,-0.28,-0.06,1.46,2.44,-90.84,-33.27,43.10,22.58994150,113.97055067,22.58698969,113.97548310,N,E
32584,5.34,-8.13,-0.23,-2.01,-1.83,1.59,-90.79,-33.26,42.94,22.58994217,113.97052850,22.58699030,113.97546089,N,E
32681,5.31,-8.24,-0.24,-2.14,0.31,2.50,-91.08,-33.01,42.89,22.58994217,113.97052850,22.58699030,113.97546089,N,E
32784,5.25,-8.32,-0.32,-0.92,-4.03,-1.65,-91.30,-33.04,43.07,22.58994217,113.97052850,22.58699030,113.97546089,N,E
32885,5.36,-8.28,-0.40,-3.54,-4.70,2.08,-91.85,-33.07,43.41,22.58994217,113.97052850,22.58699030,113.97546089,N,E
33085,5.29,-8.22,-0.56,-2.69,-1.28,-0.43,-92.71,-32.72,43.21,22.58994217,113.97052850,22.58699030,113.97546089,N,E
33181,5.23,-8.24,-0.59,-1.40,0.24,0.49,-92.99,-32.73,43.08,22.58994217,113.97052850,22.58699030,113.97546089,N,E
33282,5.31,-8.23,-0.57,-0.79,1.28,0.55,-93.03,-32.70,42.85,22.58994217,113.97052850,22.58699030,113.97546089,N,E
33385,5.29,-8.28,-0.54,-0.12,0.12,-1.04,-93.14,-32.70,42.81,22.58994217,113.97052850,22.58699030,113.97546089,N,E
33588,5.35,-8.27,-0.39,1.16,0.24,-7.45,-93.24,-33.26,42.81,22.58994217,113.97052850,22.58699030,113.97546089,N,E
33684,5.49,-8.17,-0.68,-4.33,-8.97,-10.86,-93.91,-34.09,43.52,22.58994217,113.97052850,22.58699030,113.97546089,N,E
33787,5.48,-7.72,-0.97,-0.06,-5.74,-4.33,-94.74,-34.85,44.48,22.58994217,113.97052850,22.58699030,113.97546089,N,E
33888,5.43,-7.88,-0.89,16.11,10.31,2.99,-93.85,-34.87,44.20,22.58994217,113.97052850,22.58699030,113.97546089,N,E
34088,5.57,-8.17,0.33,11.66,7.87,-0.92,-88.65,-34.34,40.68,22.58994217,113.97052850,22.58699030,113.97546089,N,E
34188,5.52,-8.26,0.22,-0.37,3.60,-0.61,-87.95,-34.35,40.33,22.58994217,113.97052850,22.58699030,113.97546089,N,E
34321,5.47,-8.09,-0.02,-4.03,-0.06,0.12,-88.71,-34.33,40.57,22.58994217,113.97052850,22.58699030,113.97546089,N,E
34423,5.42,-8.23,0.05,-3.97,-1.59,-2.44,-89.15,-34.44,40.58,22.58994217,113.97052850,22.58699030,113.97546089,N,E
34592,5.65,-7.96,-0.21,-4.39,-3.60,-0.67,-90.55,-34.81,41.22,22.58994217,113.97052850,22.58699030,113.97546089,N,E
34688,5.59,-8.03,-0.13,-1.28,-2.14,-2.14,-90.90,-34.99,41.45,22.58994217,113.97052850,22.58699030,113.97546089,N,E
34791,5.56,-8.15,-0.38,-2.14,-0.31,-3.23,-91.26,-35.28,41.91,22.58994217,113.97052850,22.58699030,113.97546089,N,E
34892,5.62,-7.89,-0.51,-2.08,-0.55,-0.43,-91.60,-35.60,42.01,22.58994217,113.97052850,22.58699030,113.97546089,N,E
35089,5.74,-7.93,-0.27,5.86,5.31,2.56,-91.14,-35.43,41.73,22.58994217,113.97052850,22.58699030,113.97546089,N,E
35192,5.66,-8.12,-0.06,0.67,5.68,4.58,-90.53,-35.01,41.15,22.58994217,113.97052850,22.58699030,113.97546089,N,E
35325,5.44,-8.04,-0.12,-9.09,-8.00,2.44,-91.51,-34.43,41.35,22.58994217,113.97052850,22.58699030,113.97546089,N,E
35426,5.39,-8.18,-0.80,0.43,-15.44,-5.31,-92.82,-34.57,42.98,22.58994217,113.97052850,22.58699030,113.97546089,N,E
