Timestamp(ms),Ax(m/s2),Ay(m/s2),Az(m/s2),Gx(deg/s),Gy(deg/s),Gz(deg/s),Roll(deg),Pitch(deg),Yaw(deg),WGS84_Lat(deg),WGS84_Lon(deg),GCJ02_Lat(deg),GCJ02_Lon(deg),Lat_Dir,Lon_Dir
98537,-1.42,0.22,9.71,0.00,0.00,0.00,1.16,8.36,-25.39,22.58925933,113.96952483,22.58630470,113.97445502,N,E
98636,-1.41,0.22,9.71,0.00,0.00,0.00,1.18,8.36,-25.39,22.58925933,113.96952483,22.58630470,113.97445502,N,E
98775,-1.42,0.22,9.70,0.00,0.00,0.00,1.18,8.36,-25.39,22.58925933,113.96952483,22.58630470,113.97445502,N,E
98875,-1.41,0.22,9.70,0.00,0.00,0.00,1.19,8.35,-25.38,22.58925933,113.96952483,22.58630470,113.97445502,N,E
99047,-1.42,0.22,9.70,0.00,0.00,0.00,1.20,8.35,-25.38,22.58925933,113.96952483,22.58630470,113.97445502,N,E
99146,-1.41,0.22,9.71,0.00,0.00,0.00,1.20,8.34,-25.38,22.58925933,113.96952483,22.58630470,113.97445502,N,E
99285,-1.42,0.22,9.70,0.00,0.00,0.00,1.21,8.34,-25.38,22.58925933,113.96952483,22.58630470,113.97445502,N,E
99384,-1.42,0.22,9.71,0.00,0.00,0.00,1.21,8.34,-25.38,22.58925933,113.96952483,22.58630470,113.97445502,N,E
99556,-1.42,0.22,9.70,0.00,0.00,0.00,1.22,8.34,-25.38,22.58925933,113.96952483,22.58630470,113.97445502,N,E
99655,-1.42,0.22,9.70,0.00,0.00,0.00,1.22,8.34,-25.38,22.58925933,113.96952483,22.58630470,113.97445502,N,E
99794,-1.42,0.22,9.70,0.00,0.00,0.00,1.23,8.33,-25.37,22.58925933,113.96952483,22.58630470,113.97445502,N,E
99894,-1.42,0.22,9.70,0.00,0.00,0.00,1.23,8.33,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
100065,-1.42,0.22,9.71,0.00,0.00,0.00,1.24,8.33,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
100161,-1.42,0.22,9.70,0.00,0.00,0.00,1.24,8.33,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
100261,-1.42,0.22,9.70,0.00,0.00,0.00,1.24,8.33,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
100365,-1.42,0.21,9.70,0.00,0.00,0.00,1.25,8.33,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
100565,-1.42,0.22,9.71,0.00,0.00,0.00,1.25,8.33,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
100664,-1.42,0.22,9.70,0.00,0.00,0.00,1.25,8.33,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
100764,-1.42,0.22,9.70,0.00,0.00,0.00,1.25,8.32,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
100864,-1.41,0.22,9.70,0.00,0.00,0.00,1.25,8.32,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
101065,-1.42,0.22,9.70,0.00,0.00,0.00,1.26,8.32,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
101164,-1.42,0.22,9.70,0.00,0.00,0.00,1.26,8.32,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
101264,-1.42,0.22,9.70,0.00,0.00,0.00,1.26,8.32,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
101364,-1.42,0.22,9.70,0.00,0.00,0.00,1.26,8.32,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
101569,-1.42,0.22,9.70,0.00,0.00,0.00,1.26,8.32,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
101668,-1.42,0.22,9.70,0.00,0.00,0.00,1.26,8.32,-25.37,22.58925917,113.96952483,22.58630453,113.97445502,N,E
101807,-1.42,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
101908,-1.41,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
102079,-1.41,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
102178,-1.41,0.22,9.71,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
102317,-1.43,0.22,9.69,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
102416,-1.42,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
102587,-1.43,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
102686,-1.42,0.22,9.71,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
102826,-1.41,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
102925,-1.42,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
103096,-1.42,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
103195,-1.42,0.22,9.70,0.00,0.00,0.00,1.27,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
103334,-1.41,0.21,9.69,0.00,0.00,0.00,1.27,8.31,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
103433,-1.42,0.22,9.70,0.00,0.00,0.00,1.27,8.31,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
103603,-1.43,0.22,9.70,0.00,0.00,0.00,1.28,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
103703,-1.42,0.22,9.71,0.00,0.00,0.00,1.28,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
103803,-1.42,0.22,9.69,0.00,0.00,0.00,1.28,8.32,-25.36,22.58925917,113.96952483,22.58630453,113.97445502,N,E
103903,-1.42,0.22,9.70,0.00,0.00,0.00,1.28,8.32,-25.36,22.58925900,113.96952483,22.58630436,113.97445502,N,E
